Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
7/2/2020 17:28:49	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/3/2020 3:30:31	Visitor	Harvard School of Engineering and Applied Sciences (SEAS)	Archaeolog
7/3/2020 16:54:20	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
7/4/2020 15:39:04	Visitor	FAS Social Science Division	Weatherhead Center for International Affairs
7/6/2020 12:20:44	Graduate student: Masters	Harvard Graduate School of Design (GSD)	-
7/6/2020 12:51:55	Non-Harvard	Non-Harvard	Brigham and Women's Hospital
7/6/2020 16:31:52	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Creative Writing and Literature
7/6/2020 18:01:59	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
7/7/2020 11:43:54	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
7/8/2020 16:51:23	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard Graduate School of Design
7/8/2020 18:29:12	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/9/2020 11:05:56	Other Affliate	Non-Harvard	MGH - Kraft Center for Community Health
7/9/2020 11:15:58	Non-Harvard	Non-Harvard	Fathom Consulting, data visualisation specialist
7/9/2020 18:24:23	Faculty	FAS Science Division	OEB
7/9/2020 19:20:35	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Design, Harvard Graduate School of Design
7/9/2020 19:59:14	Faculty	FAS Science Division	OEB Dept.
7/11/2020 13:37:53	Graduate student: Doctorate	FAS other units	History of Art and Architecture
7/14/2020 16:38:29	Non-Harvard	Non-Harvard	George Mason University
7/15/2020 3:04:32	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban planning
7/15/2020 11:45:57	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Harvard University
7/15/2020 15:11:42	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Public Policy
7/17/2020 10:38:58	Faculty	Harvard Medical School (HMS)	BWH, Surgery
7/17/2020 16:09:31	Research assistant	FAS Arts and Humanities Division	History of Art & Architecture 
7/19/2020 18:40:34	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
7/20/2020 10:20:34	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	PhD Program in Health Care Policy
7/20/2020 19:52:04	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Phd Program in Health Care Policy
7/21/2020 16:16:28	Staff	Harvard Graduate School of Design (GSD)	Computer Resources
7/23/2020 12:10:14	Non-Harvard	Non-Harvard	University of North Carolina student/research assistant
7/24/2020 4:23:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
7/26/2020 19:42:27	Research fellow	Harvard School of Public Health (HSPH)	Department of epidemiology
7/28/2020 23:47:30	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/30/2020 11:02:49	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
7/30/2020 11:56:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard GSD
8/1/2020 9:04:19	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
8/3/2020 11:40:52	Non-Harvard	Non-Harvard	Brigham and Women's Hospital, research assistant
8/5/2020 6:47:16	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Near Eastern Languages and Civilizations
8/5/2020 21:35:02	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	PhD Program in Health Policy
8/7/2020 9:53:14	Non-Harvard	Non-Harvard	Brigham and Women's Hospital
8/8/2020 17:29:15	Faculty	FAS other units	History
8/9/2020 1:48:52	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
8/13/2020 23:06:08	Non-Harvard	Non-Harvard	Georgia State University, graduate student
8/14/2020 16:08:44	Staff	FAS other units	The Arnold Arboretum of Harvard University
8/24/2020 3:00:07	Research fellow	Harvard Medical School (HMS)	Program in Global Surgery and Social Change
8/24/2020 13:29:00	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master's in Urban Planning
8/25/2020 11:44:11	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Planning Office
8/25/2020 15:17:40	Research assistant	FAS Arts and Humanities Division	Dept of History of Art & Architecture
8/26/2020 11:49:16	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
8/26/2020 18:30:17	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Landscape Architecture
8/26/2020 18:51:43	Non-Harvard	Non-Harvard	Hong Kong Polytechnic University, Assistant Professor
8/28/2020 13:36:01	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Bloomberg Harvard
8/28/2020 15:51:16	Research assistant	Harvard Business School (HBS)	Harvard Business School
8/31/2020 11:24:57	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
9/1/2020 14:04:55	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
9/2/2020 5:14:32	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
9/2/2020 12:01:16	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
9/3/2020 23:32:18	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	PPOL
9/5/2020 4:49:36	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	NA
9/7/2020 19:14:50	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	--None--
9/8/2020 9:52:58	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	--None--
9/8/2020 9:59:08	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	--None--
9/8/2020 11:45:17	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability and Environmental Management
9/8/2020 14:53:14	Research assistant	Harvard Business School (HBS)	Entreprenuerial 
9/10/2020 12:51:58	Other Affliate	Harvard Graduate School of Design (GSD)	Landscape Architecture, Urban Design
9/11/2020 11:33:37	Research fellow	FAS Social Science Division	Economics
9/13/2020 22:45:25	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design/MUP
9/14/2020 10:01:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in urban planning
9/14/2020 14:31:18	Staff	Non-Harvard	Massachusetts General Hospital, Grant Manager
9/14/2020 19:11:32	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
9/15/2020 0:23:40	Non-Harvard	Non-Harvard	MIT Department of Urban Studies and Planning, graduate student
9/15/2020 17:58:16	Undergraduate student	Harvard College	Government
9/15/2020 19:29:18	Non-Harvard	Non-Harvard	graduate student at University of Massachusetts Medical School / Broad Institute (but just a curiosity question from a hobby artist wanting to rectify an old map)
9/21/2020 0:02:38	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
9/22/2020 17:27:39	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Transportation Services
9/25/2020 14:36:20	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard Business School
9/26/2020 6:06:52	Non-Harvard	FAS other units	iran.kashan.uni of kashan
9/27/2020 12:11:58	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
9/27/2020 22:30:02	Staff	FAS Arts and Humanities Division	Employed at Harvard Art Museums, HES student
9/28/2020 7:15:39	Research assistant	FAS Science Division	Harvard Forest
9/28/2020 14:53:09	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Anthropology
9/30/2020 13:35:46	Graduate student: Masters	Graduate School of Arts and Sciences (GSAS)	Harvard Extension School
10/2/2020 7:26:47	Undergraduate student	Harvard College	Economics
10/6/2020 7:36:50	Non-Harvard	Non-Harvard	KERALA STATE DISASTER MANAGEMENT AUTHORITY, GIS Technician
10/6/2020 14:22:10	Undergraduate student	Harvard College	Economics
10/7/2020 11:27:21	Faculty	Harvard Graduate School of Design (GSD)	Landscape Architecture
10/12/2020 6:54:47	Non-Harvard	Non-Harvard	CENTRE FOR GEODESY AND GEODYNAMIC TORO . BAUCHI STATE NIGERIA
10/12/2020 14:56:25	Visitor	Harvard College	Not Harvard
10/13/2020 9:02:06	Graduate student: Doctorate	Harvard Medical School (HMS)	Global Health and Social Medicine
10/13/2020 9:37:06	Undergraduate student	FAS Social Science Division	Economics
10/14/2020 8:57:13	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
10/14/2020 9:40:23	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
10/15/2020 15:40:52	Non-Harvard	Non-Harvard	MIT, graduate student
10/17/2020 20:18:26	Visitor	Harvard College	Harvard Ukrainian Research Institute
10/19/2020 9:40:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
10/19/2020 13:15:35	Post doctoral research associate	Graduate School of Arts and Sciences (GSAS)	Human Evolutionary Biology
10/20/2020 14:00:56	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/20/2020 15:15:04	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
10/21/2020 17:27:33	Research fellow	Graduate School of Arts and Sciences (GSAS)	CGA
10/28/2020 13:53:45	Undergraduate student	Harvard College	Government Department
10/29/2020 12:08:23	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	HGSE 
11/5/2020 9:48:10	Staff	FAS Arts and Humanities Division	Harvard University
11/9/2020 8:11:03	Graduate student: Masters	FAS other units	HES, ALM in Sustainability
11/9/2020 14:16:54	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
11/11/2020 21:54:21	Undergraduate student	Harvard College	Geography & Identity (Special Concentration)
11/12/2020 13:20:47	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	NELC, Egyptology
11/13/2020 11:20:26	Faculty	FAS Arts and Humanities Division	Classics
11/13/2020 17:18:28	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
11/17/2020 15:16:46	Non-Harvard	Non-Harvard	Los Angeles Valley College, transfer student to UCLA
11/18/2020 11:43:20	Staff	FAS other units	Academic Technology
11/21/2020 9:04:16	Visitor	Harvard Medical School (HMS)	Program in Global Surgery and Social Change, Research Associate
12/1/2020 5:39:07	Non-Harvard	Non-Harvard	Kenzo Milleville, PhD researcher at Ghent University
12/1/2020 17:30:38	Faculty	Harvard College	Harvard Kennedy School
12/4/2020 13:10:51	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Harvard University
12/5/2020 16:14:47	Faculty	Harvard School of Public Health (HSPH)	Health Policy and Management
12/7/2020 12:22:14	Graduate student: Masters	Harvard Graduate School of Design (GSD)	graduate student
12/8/2020 9:41:22	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Global Health and Population
12/9/2020 13:40:05	Non-degree student	Non-Harvard	Columbia University Student | Harvard's Planetary Health Alliance Ambassador
12/9/2020 16:25:42	Faculty	FAS Social Science Division	Harvard University Department of Government
12/10/2020 14:35:25	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes
12/17/2020 10:54:16	Faculty	Harvard Law School (HLS)	Empirical Research
12/18/2020 23:52:15	Post doctoral research associate	FAS Science Division	OEB
12/21/2020 16:17:10	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
12/22/2020 11:02:26	Faculty	Harvard Medical School (HMS)	MEE ENT
12/28/2020 10:05:03	Non-Harvard	Non-Harvard	Defense Counterintelligence and Security Agency
12/30/2020 0:40:33	Non-Harvard	Non-Harvard	iCog-Labs, Software Engineer
1/4/2021 11:53:13	Non-Harvard	Non-Harvard	Defense Counterintelligence and Security Agency
1/4/2021 12:13:44	Other Affliate	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard GSAS, Department of History of Art and Architecture
1/4/2021 16:47:11	Faculty	FAS Arts and Humanities Division	ASIA CENTER
1/5/2021 9:10:55	Faculty	Harvard Medical School (HMS)	HMS
1/5/2021 13:51:39	Non-Harvard	Harvard Medical School (HMS)	Harvard Pilgrim Health Care Institute and Department of Population Medicine, Project Manager
1/7/2021 11:02:40	Staff	FAS Arts and Humanities Division	EALC
1/8/2021 13:44:37	Non-Harvard	Non-Harvard	National Intelligence University, graduate student
1/11/2021 8:40:10	Graduate student: Doctorate	Harvard Law School (HLS)	Harvard Law School
1/11/2021 9:24:12	Non-Harvard	Harvard School of Public Health (HSPH)	Harvard Humanitarian Initiative
1/11/2021 14:37:13	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Epidemiology within Environmental Health Department
1/13/2021 9:16:11	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics
1/15/2021 3:27:59	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Harvard Kennedy School
1/19/2021 10:15:36	Non-Harvard	Non-Harvard	MIT, graduate student
1/19/2021 16:58:29	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters in Landscape Architecture
1/21/2021 5:10:21	Graduate student: Doctorate	FAS Social Science Division	PhD candidate in Government dept. & CS dept.
1/23/2021 11:55:34	Research fellow	FAS other units	Opportunity Insights - Economics Department
1/24/2021 13:50:32	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy
1/25/2021 12:43:03	Non-Harvard	Non-Harvard	Non-Harvard
1/25/2021 13:49:53	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning
1/25/2021 16:26:52	Alum or Emeritus	Harvard School of Public Health (HSPH)	Environmental Health
1/26/2021 17:10:24	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLA IAP
1/27/2021 12:40:47	Graduate student: Masters	Harvard Graduate School of Design (GSD)	N/A
1/27/2021 15:04:38	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLA II
1/27/2021 16:44:45	Non-Harvard	Non-Harvard	Brigham and Women's Hospital
1/27/2021 18:47:31	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MLAII
1/28/2021 9:45:27	Graduate student: Masters	Harvard School of Public Health (HSPH)	Clinical Effectiveness/Global Health
1/29/2021 9:59:24	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Urban Planning
1/29/2021 14:40:51	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
1/29/2021 18:00:03	Alum or Emeritus	Graduate School of Arts and Sciences (GSAS)	Department of Government
2/1/2021 9:52:53	Staff	Harvard School of Public Health (HSPH)	N/A
2/2/2021 21:49:12	Post doctoral research associate	Harvard Graduate School of Design (GSD)	Architecture
2/4/2021 11:36:26	Post doctoral research associate	Harvard Graduate School of Design (GSD)	Architecture
2/5/2021 12:55:51	Non-Harvard	Non-Harvard	Georgetown University
2/5/2021 20:33:36	Post doctoral research associate	Harvard Graduate School of Design (GSD)	Harvard GSD
2/6/2021 1:30:38	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
2/9/2021 14:25:01	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History of Science
2/9/2021 16:07:23	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability
2/10/2021 15:03:48	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Org Behaviour
2/10/2021 15:52:19	Non-Harvard	Non-Harvard	East Carolina University, Faculty
2/11/2021 1:40:25	Non-Harvard	Non-Harvard	Senior Year High School Student India
2/12/2021 10:28:22	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Public Policy
2/12/2021 15:34:16	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
2/16/2021 10:00:17	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
2/16/2021 15:16:58	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
2/16/2021 16:48:36	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
2/16/2021 19:11:53	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
2/17/2021 4:13:06	Graduate student: Masters	Non-Harvard	TMU
2/17/2021 11:27:18	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
2/18/2021 8:54:34	Graduate student: Masters	Harvard Graduate School of Design (GSD)	GSD/Master in Design Studies
2/18/2021 9:28:39	Non-Harvard	Non-Harvard	Cox Mill High School, High School Student. Harvard Erevna, Data Scientist, Event Planner, and Community Moderator
2/19/2021 13:39:52	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MAUD
2/19/2021 16:50:09	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design
2/20/2021 1:46:28	Non-Harvard	Non-Harvard	thanks
2/20/2021 15:52:51	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD
2/21/2021 16:32:43	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
2/22/2021 11:47:49	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Belfer Center for Science and International Affairs
2/22/2021 19:14:32	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Belfer Center for Science and International Affairs
2/24/2021 16:40:55	Staff	FAS Arts and Humanities Division	Ukrainian Research Institute
2/26/2021 14:35:43	Staff	Harvard Graduate School of Design (GSD)	Harvard GSD/Fabrication Lab/Community Outreach Officer
3/2/2021 9:39:28	Staff	Harvard Business School (HBS)	Research Services
3/4/2021 8:53:24	Graduate student: Masters	Harvard Law School (HLS)	GIS
3/6/2021 16:20:11	Faculty	Harvard College	History and Literature
3/8/2021 21:37:26	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Landscape Architecture
3/9/2021 20:33:27	Graduate student: Masters	Harvard School of Public Health (HSPH)	Clinical Effectiveness/Humanitarian Concentration
3/9/2021 23:26:08	Alum or Emeritus	Harvard Kennedy School of Government (HKS)	PPOL
3/12/2021 8:58:03	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History Department, Law School
3/15/2021 3:09:35	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design
3/15/2021 13:03:44	Post doctoral research associate	Harvard Business School (HBS)	HBS Finance Unit
3/15/2021 17:51:41	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
3/16/2021 3:14:44	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPA/ID
3/17/2021 16:08:51	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Harvard Art Museums (DAPP)
3/20/2021 13:59:15	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard University
3/22/2021 13:11:23	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
3/23/2021 13:37:58	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government Department
3/24/2021 8:59:07	Graduate student: Doctorate	Harvard Kennedy School of Government (HKS)	Public Policy
3/25/2021 18:37:36	Graduate student: Masters	Non-Harvard	Space Generation Advisory Council
3/26/2021 13:35:05	Undergraduate student	Harvard College	Harvard College, Computer Science
3/28/2021 9:04:02	Non-Harvard	Non-Harvard	University of Notre Dame, PhD student
3/28/2021 15:15:16	Graduate student: Masters	Harvard Business School (HBS)	NA
3/29/2021 11:52:06	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning
3/30/2021 13:18:05	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Harvard University
3/31/2021 11:36:40	Staff	FAS other units	OEB
3/31/2021 11:42:55	Graduate student: Masters	FAS Division of Continuing Education (DCE)	International Relations
4/2/2021 12:27:07	Faculty	Harvard School of Public Health (HSPH)	Health Policy and Management
4/3/2021 12:52:04	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Department of Organismic and Evolutionary Biology
4/4/2021 7:52:32	Other Affliate	FAS Social Science Division	Mikhail Shakhbazov
4/5/2021 10:06:27	Alum or Emeritus	Graduate School of Arts and Sciences (GSAS)	Earth and Planetary Sciences
4/7/2021 4:53:35	Non-Harvard	Non-Harvard	GIS Analyst
4/7/2021 17:57:05	Non-degree student	HUIT, Libraries, UPO, other Harvard centers or programs	Center for Geographic Analysis 
4/8/2021 8:17:00	Undergraduate student	FAS Social Science Division	Sociology Department
4/9/2021 12:39:07	Non-Harvard	Non-Harvard	University of Pennsylvania, Graduate Student
4/12/2021 10:19:19	Staff	Harvard Graduate School of Design (GSD)	Staff
4/12/2021 13:39:48	Non-Harvard	Non-Harvard	University of California 
4/13/2021 8:33:58	Research fellow	Harvard Medical School (HMS)	Program in Global Surgery and Social Change
4/14/2021 14:31:28	Faculty	Harvard Medical School (HMS)	BWH/DFCI
4/15/2021 17:26:40	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Arnold Arboretum
4/16/2021 7:30:45	Graduate student: Masters	Harvard Graduate School of Design (GSD)	NA
4/19/2021 10:27:26	Research fellow	Harvard Medical School (HMS)	Brigham and Women's Hospital / DFCI Clinical and Research Fellow
4/19/2021 14:14:19	Staff	Harvard Graduate School of Design (GSD)	Harvard University
4/26/2021 15:40:15	Staff	Harvard School of Public Health (HSPH)	NIEHS-Center for Environmental Health / Department of Environmental Health
4/26/2021 16:57:06	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design
4/27/2021 13:13:41	Research fellow	FAS other units	Harvard University Center for the Environment
5/3/2021 5:05:01	Faculty	Harvard Medical School (HMS)	Boston Children's Hospital
5/3/2021 15:03:49	Non-Harvard	Non-Harvard	Clemson University- Graduate Student
5/4/2021 11:04:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes ULE
5/4/2021 12:51:25	Post doctoral research associate	Harvard Kennedy School of Government (HKS)	Ash Center
5/7/2021 11:25:30	Faculty	Harvard Medical School (HMS)	Clinical Fellow in Pediatrics, Harvard Medical School
5/7/2021 15:09:44	Non-degree student	Harvard Medical School (HMS)	DFCI
5/12/2021 14:11:25	Undergraduate student	FAS Science Division	no
5/17/2021 9:33:15	Staff	FAS other units	Weatherhead Center for International Affairs
5/19/2021 14:32:10	Non-Harvard	Non-Harvard	MIT Sustainable Urbanization Lab, graduate student. 
5/19/2021 14:37:04	Non-Harvard	Non-Harvard	MIT Sustainable Urbanization Lab, graduate student
5/19/2021 16:35:05	Staff	HUIT, Libraries, UPO, other Harvard centers or programs	Arnold Arboretum
5/24/2021 15:16:32	Faculty	Harvard Medical School (HMS)	Department of Emergency Medicine (affiliated with MGH)
5/28/2021 15:27:05	Graduate student: Doctorate	FAS Social Science Division	Government
6/2/2021 16:59:47	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	OEB
6/3/2021 15:57:49	Research assistant	Harvard Graduate School of Design (GSD)	Harvard GSD - Landscape Architecture
6/9/2021 19:37:30	Faculty	Harvard Law School (HLS)	Empirical Research
6/10/2021 5:28:37	Graduate student: Doctorate	Harvard Graduate School of Education (GSE)	HGSE
6/10/2021 13:29:41	Non-Harvard	Non-Harvard	University of Applied Arts, Vienna, Head of Department Urban Strategies
6/11/2021 1:57:14	Graduate student: Masters	Non-Harvard	Arbaminch university,Ethiopia
6/14/2021 17:26:32	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	GSAS
6/17/2021 9:19:13	Faculty	Harvard School of Public Health (HSPH)	Health Policy and Management
6/17/2021 13:00:12	Research assistant	Harvard School of Public Health (HSPH)	Brigham and Women's Hospital
6/17/2021 13:59:14	Research assistant	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies, GSD
6/18/2021 13:07:51	Other Affliate	Non-Harvard	Biostatistician at MGH
6/21/2021 15:31:05	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Design and Planning
6/23/2021 13:32:00	Faculty	Harvard Graduate School of Design (GSD)	landsdcape
6/24/2021 12:49:33	Graduate student: Doctorate	Harvard School of Engineering and Applied Sciences (SEAS)	Harvard University SEAS
6/25/2021 12:51:06	Staff	Harvard Business School (HBS)	Research Staffing Services
6/25/2021 13:37:25	Staff	Harvard Business School (HBS)	Research Staffing Services
6/25/2021 14:35:01	Graduate student: Masters	Harvard Business School (HBS)	MBA
6/27/2021 22:45:34	Faculty	Non-Harvard	Italo Busatta  Geographer Licenced by Luteran University of Brazil. 
6/29/2021 18:09:01	Staff	Harvard Kennedy School of Government (HKS)	Rappaport Institute / Bloomberg Harvard Summer Fellows
6/29/2021 19:10:12	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	NELC
6/30/2021 10:28:30	Other Affliate	Harvard Medical School (HMS)	Massachusetts General Hospital, Biostatistician/Epidemiologist
6/30/2021 10:44:59	Non-Harvard	Non-Harvard	Ormiston College (Australia), secondary Geography teacher
6/30/2021 10:45:02	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
6/30/2021 10:51:50	Non-Harvard	Non-Harvard	Tufts University
6/30/2021 11:24:32	Non-Harvard	Non-Harvard	University of Groningen, PhD Candidate
6/30/2021 12:29:20	Non-Harvard	Non-Harvard	NYC DOHMH, GIS Team Lead 
6/30/2021 12:31:53	Alum or Emeritus	FAS Arts and Humanities Division	BetaNYC
6/30/2021 12:44:02	Non-Harvard	Non-Harvard	City University of Hong Kong, master student
6/30/2021 12:50:43	Non-degree student	Harvard School of Engineering and Applied Sciences (SEAS)	Private Individual 
6/30/2021 13:39:53	Alum or Emeritus	Harvard Graduate School of Design (GSD)	GSD Alum
6/30/2021 15:06:52	Non-Harvard	Non-Harvard	NA
6/30/2021 17:50:24	Non-Harvard	Non-Harvard	State of Minnesota's Geospatial Information Office, GIS data specialist
7/1/2021 4:12:54	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP
7/1/2021 4:15:23	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning + Master of Public Policy
7/1/2021 8:55:26	Other Affliate	Graduate School of Arts and Sciences (GSAS)	Anthropology
7/1/2021 9:30:41	Staff	FAS other units	Harvard College Library
7/1/2021 9:46:32	Staff	Harvard Graduate School of Design (GSD)	Harvard University
7/1/2021 11:35:19	Staff	FAS other units	The Arnold ARboretum
7/1/2021 18:49:26	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics Department
7/2/2021 11:59:38	Faculty	Harvard Medical School (HMS)	Population Medicine
7/6/2021 7:58:44	Graduate student: Doctorate	FAS Social Science Division	Government
7/9/2021 10:44:46	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Atmospheric Chemistry Modelling Group
7/9/2021 16:51:46	Research assistant	Harvard School of Public Health (HSPH)	NIEHS Center for Environmental Health
7/12/2021 15:17:48	Non-Harvard	Non-Harvard	Library of Congress, Research librarian
